,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
294,Stonehill,32,15,17,.469,-13.12,-9.55,7,9,11,3,3,13,2198,2242,1280,759,1748,.434,276,777,.355,404,558,.724,288,1060,461,206,84,388,530,2025
295,Stony Brook,32,8,24,.250,-13.84,-4.42,4,14,5,9,3,13,2128,2372,1280,739,1784,.414,236,700,.337,414,555,.746,335,1059,361,163,66,376,487,2025
296,Syracuse,33,14,19,.424,4.95,8.04,7,13,11,6,2,9,2464,2566,1350,897,1964,.457,211,643,.328,459,651,.705,364,1224,448,161,83,415,542,2025
297,Tarleton State,32,12,20,.375,-10.31,-0.31,7,9,10,3,1,14,2025,2227,1280,697,1614,.432,132,408,.324,499,681,.733,303,971,338,300,115,562,612,2025
298,TCU,32,16,16,.500,10.49,11.64,9,11,14,3,2,9,2162,2199,1285,780,1875,.416,195,650,.300,407,629,.647,385,1114,389,243,110,372,501,2025
299,Temple,32,17,15,.531,-0.24,-0.37,9,9,12,2,3,9,2520,2487,1310,840,1875,.448,216,597,.362,624,848,.736,359,1165,347,205,119,351,575,2025
300,Tennessee NCAA,38,30,8,.789,24.20,13.25,12,6,16,1,6,5,2813,2397,1520,967,2138,.452,313,927,.338,566,760,.745,437,1382,586,263,181,397,579,2025
301,Tennessee State,33,17,16,.515,-8.01,-8.71,12,8,12,3,4,10,2577,2418,1350,909,1964,.463,219,673,.325,540,793,.681,428,1338,440,237,127,506,625,2025
302,Tennessee Tech,32,15,17,.469,-11.09,-7.82,10,10,9,5,5,10,2308,2371,1290,810,1874,.432,309,878,.352,379,543,.698,277,1110,486,203,88,372,424,2025
303,Tennessee-Martin,33,14,19,.424,-11.18,-8.18,9,11,8,5,5,12,2455,2373,1350,836,1997,.419,306,949,.322,477,682,.699,453,1301,447,267,93,433,556,2025
304,Texas NCAA,35,19,16,.543,15.65,9.79,6,12,11,7,4,6,2747,2542,1420,956,2067,.463,264,729,.362,569,760,.749,356,1248,452,219,150,348,654,2025
305,Texas A&M NCAA,34,23,11,.676,19.30,13.39,11,7,13,3,5,5,2537,2336,1370,857,2050,.418,237,773,.307,586,847,.692,543,1395,406,257,137,414,594,2025
306,Texas A&M-Corpus Christi,34,20,14,.588,-0.99,-3.39,12,8,15,2,4,11,2576,2291,1360,968,1976,.490,199,580,.343,441,699,.631,381,1240,509,268,121,408,602,2025
307,Texas Southern,32,15,17,.469,-10.27,-8.23,12,6,9,4,6,12,2325,2307,1290,846,1974,.429,233,697,.334,400,554,.722,368,1201,438,274,109,444,538,2025
308,Texas State,32,16,16,.500,-3.60,-3.77,9,9,10,4,4,10,2439,2346,1310,867,1869,.464,190,518,.367,515,681,.756,389,1184,465,227,129,393,584,2025
309,Texas Tech NCAA,37,28,9,.757,23.05,10.62,15,5,15,3,8,2,2993,2533,1505,1059,2274,.466,371,1011,.367,504,663,.760,438,1371,606,232,115,356,581,2025
310,Texas-Rio Grande Valley,31,16,15,.516,-6.05,-3.38,8,12,12,4,2,11,2378,2294,1240,872,1965,.444,328,997,.329,306,433,.707,365,1165,534,235,87,417,510,2025
311,The Citadel,30,5,25,.167,-18.37,-4.49,0,18,5,12,0,12,1997,2251,1215,706,1685,.419,226,766,.295,359,582,.617,318,1032,368,180,61,376,483,2025
312,Toledo,33,18,15,.545,-6.03,-2.78,10,8,9,4,6,9,2603,2645,1325,937,2019,.464,193,574,.336,536,715,.750,357,1123,438,178,91,310,523,2025
313,Towson,33,22,11,.667,-1.92,-3.57,16,2,12,1,9,5,2309,2201,1335,836,1988,.421,253,750,.337,384,563,.682,433,1213,351,213,110,309,528,2025
314,Troy NCAA,34,23,11,.676,3.55,-2.10,13,5,11,4,9,6,2495,2235,1360,851,1954,.436,261,878,.297,532,741,.718,471,1311,473,321,157,458,562,2025
315,Tulane,34,19,15,.559,1.24,-0.73,12,6,14,3,4,7,2533,2393,1365,874,1936,.451,261,766,.341,524,692,.757,313,1176,500,250,151,369,581,2025
316,Tulsa,33,13,20,.394,-5.93,-1.90,6,12,8,9,3,8,2352,2430,1340,829,1910,.434,262,813,.322,430,645,.667,321,1178,450,202,90,377,514,2025
317,UAB,37,24,13,.649,4.70,-0.10,13,5,14,4,7,6,3040,2822,1490,1111,2437,.456,243,719,.338,575,753,.764,536,1485,596,248,155,368,575,2025
318,UC Davis,32,15,17,.469,-6.41,-1.51,9,11,8,6,7,10,2175,2249,1285,737,1784,.413,203,625,.325,498,670,.743,326,1057,354,252,115,424,577,2025
319,UC Irvine,39,32,7,.821,7.60,-0.80,17,3,13,2,14,3,2962,2613,1585,1017,2238,.454,278,782,.355,650,819,.794,361,1495,612,256,134,495,609,2025
320,UC Riverside,34,21,13,.618,-1.47,0.38,14,6,14,1,7,11,2542,2550,1380,903,2119,.426,306,907,.337,430,569,.756,422,1264,449,186,82,380,613,2025
321,UC San Diego NCAA,35,30,5,.857,12.63,-1.92,18,2,13,2,12,2,2777,2163,1400,954,2058,.464,375,1035,.362,494,662,.746,319,1190,550,345,74,305,576,2025
322,UC Santa Barbara,34,21,13,.618,0.28,-3.50,11,9,12,5,7,7,2527,2340,1360,875,1891,.463,340,893,.381,437,572,.764,303,1153,508,205,106,416,570,2025
323,UCF,37,20,17,.541,10.59,11.22,7,13,13,5,2,8,2951,2974,1505,991,2326,.426,328,971,.338,641,827,.775,453,1366,516,281,163,452,638,2025
324,UCLA NCAA,34,23,11,.676,19.68,10.71,13,7,15,2,5,5,2522,2217,1360,909,1960,.464,252,715,.352,450,634,.710,366,1109,555,275,107,359,586,2025
325,UNC Asheville,32,21,11,.656,-5.36,-4.71,11,5,13,1,6,9,2630,2450,1295,942,1993,.473,255,732,.348,491,686,.716,362,1125,449,240,134,334,619,2025
326,UNC Greensboro,32,20,12,.625,-0.99,-4.13,13,5,11,3,8,6,2332,2092,1280,818,1850,.442,294,790,.372,402,547,.735,350,1174,416,192,91,316,519,2025
